"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR","name","family"
"DRYER_natura_leaf_16S_70_NA","DRYER_natura_leaf_16S_70_NA","DRYER","natura","leaf","16S","sample",NA,"70",25231,719,TRUE,TRUE,23981,654,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_leaf_16S_71_NA","DRYER_natura_leaf_16S_71_NA","DRYER","natura","leaf","16S","sample",NA,"71",17081,675,TRUE,TRUE,16472,596,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_leaf_16S_72_NA","DRYER_natura_leaf_16S_72_NA","DRYER","natura","leaf","16S","sample",NA,"72",27892,822,TRUE,TRUE,26633,756,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_1_NA","DRYER_natura_root_16S_1_NA","DRYER","natura","root","16S","sample",NA,"1",8031,208,TRUE,TRUE,7773,168,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_10_NA","DRYER_natura_root_16S_10_NA","DRYER","natura","root","16S","sample",NA,"10",15377,561,TRUE,TRUE,14506,503,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_11_NA","DRYER_natura_root_16S_11_NA","DRYER","natura","root","16S","sample",NA,"11",9497,526,TRUE,TRUE,9092,461,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_12_NA","DRYER_natura_root_16S_12_NA","DRYER","natura","root","16S","sample",NA,"12",10146,549,TRUE,TRUE,9666,493,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_13_NA","DRYER_natura_root_16S_13_NA","DRYER","natura","root","16S","sample",NA,"13",12885,739,TRUE,TRUE,10929,665,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_14_NA","DRYER_natura_root_16S_14_NA","DRYER","natura","root","16S","sample",NA,"14",9763,609,TRUE,TRUE,8275,536,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_15_NA","DRYER_natura_root_16S_15_NA","DRYER","natura","root","16S","sample",NA,"15",10529,438,TRUE,TRUE,9796,398,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_16_NA","DRYER_natura_root_16S_16_NA","DRYER","natura","root","16S","sample",NA,"16",18516,819,TRUE,TRUE,17857,748,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_17_NA","DRYER_natura_root_16S_17_NA","DRYER","natura","root","16S","sample",NA,"17",8178,733,TRUE,TRUE,7111,579,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_18_NA","DRYER_natura_root_16S_18_NA","DRYER","natura","root","16S","sample",NA,"18",16162,665,TRUE,TRUE,15464,593,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_19_NA","DRYER_natura_root_16S_19_NA","DRYER","natura","root","16S","sample",NA,"19",6581,692,TRUE,TRUE,5816,548,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_2_NA","DRYER_natura_root_16S_2_NA","DRYER","natura","root","16S","sample",NA,"2",11890,419,TRUE,TRUE,11105,354,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_20_NA","DRYER_natura_root_16S_20_NA","DRYER","natura","root","16S","sample",NA,"20",9294,758,TRUE,TRUE,8208,612,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_21_NA","DRYER_natura_root_16S_21_NA","DRYER","natura","root","16S","sample",NA,"21",11565,779,TRUE,TRUE,10414,629,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_22_NA","DRYER_natura_root_16S_22_NA","DRYER","natura","root","16S","sample",NA,"22",14528,810,TRUE,TRUE,12737,724,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_23_NA","DRYER_natura_root_16S_23_NA","DRYER","natura","root","16S","sample",NA,"23",25348,680,TRUE,TRUE,23005,627,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_root_16S_24_NA","DRYER_natura_root_16S_24_NA","DRYER","natura","root","16S","sample",NA,"24",4469,439,TRUE,TRUE,4033,354,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_25_NA","DRYER_natura_root_16S_25_NA","DRYER","natura","root","16S","sample",NA,"25",13464,469,TRUE,TRUE,12906,426,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_26_NA","DRYER_natura_root_16S_26_NA","DRYER","natura","root","16S","sample",NA,"26",21330,831,TRUE,TRUE,19852,743,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_27_NA","DRYER_natura_root_16S_27_NA","DRYER","natura","root","16S","sample",NA,"27",18298,735,TRUE,TRUE,17339,669,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_28_NA","DRYER_natura_root_16S_28_NA","DRYER","natura","root","16S","sample",NA,"28",14465,578,TRUE,TRUE,13240,508,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_29_NA","DRYER_natura_root_16S_29_NA","DRYER","natura","root","16S","sample",NA,"29",8845,400,TRUE,TRUE,8072,344,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_3_NA","DRYER_natura_root_16S_3_NA","DRYER","natura","root","16S","sample",NA,"3",10911,473,TRUE,TRUE,10330,417,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_30_NA","DRYER_natura_root_16S_30_NA","DRYER","natura","root","16S","sample",NA,"30",10467,597,TRUE,TRUE,9697,535,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_31_NA","DRYER_natura_root_16S_31_NA","DRYER","natura","root","16S","sample",NA,"31",11379,400,TRUE,TRUE,10757,365,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_32_NA","DRYER_natura_root_16S_32_NA","DRYER","natura","root","16S","sample",NA,"32",12417,524,TRUE,TRUE,11805,451,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_33_NA","DRYER_natura_root_16S_33_NA","DRYER","natura","root","16S","sample",NA,"33",8112,401,TRUE,TRUE,7224,348,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_34_NA","DRYER_natura_root_16S_34_NA","DRYER","natura","root","16S","sample",NA,"34",7496,304,TRUE,TRUE,6830,266,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_35_NA","DRYER_natura_root_16S_35_NA","DRYER","natura","root","16S","sample",NA,"35",14746,679,TRUE,TRUE,13150,585,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_36_NA","DRYER_natura_root_16S_36_NA","DRYER","natura","root","16S","sample",NA,"36",14976,615,TRUE,TRUE,13910,563,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_4_NA","DRYER_natura_root_16S_4_NA","DRYER","natura","root","16S","sample",NA,"4",16367,275,TRUE,TRUE,11407,254,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_root_16S_42_NA","DRYER_natura_root_16S_42_NA","DRYER","natura","root","16S","sample",NA,"42",12225,360,TRUE,TRUE,10973,296,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_root_16S_43_NA","DRYER_natura_root_16S_43_NA","DRYER","natura","root","16S","sample",NA,"43",7665,327,TRUE,TRUE,7297,259,"Eperua_falcata","Fabaceae"
"DRYER_natura_root_16S_44_NA","DRYER_natura_root_16S_44_NA","DRYER","natura","root","16S","sample",NA,"44",23620,588,TRUE,TRUE,22724,520,"Eperua_falcata","Fabaceae"
